englishname,hebrewname,morphology,definition,transliteration,dictionary
Hadid,חָדִיד,pr. n. m.,"[{'definition': 'Hadid = ""sharp""'}, {'definition': 'a town in Benjamin'}]",khaw-deed',BDB Augmented Strong
Hadlai,חַדְלַי,pr. n. m.,"[{'definition': 'Hadlai = ""rest of God""'}, {'definition': 'an Ephraimite'}]",khad-lah'-ee,BDB Augmented Strong
Hiddekel,חִדֶּקֶל,pr. n. m.,"[{'definition': 'Hiddekel = ""rapid""'}, {'definition': 'one of the rivers of Eden which coursed east toward Assyria; better known as the Tigris (the LXX equivalent)'}]",khid-deh'-kel,BDB Augmented Strong
Hadar,חֲדַר,pr. n. m.,"[{'definition': 'Hadar = ""honour""'}, {'definition': 'an Edomite king'}]",khad-ar',BDB Augmented Strong
Havilah,חֲוִילָה,pr. n. m.,"[{'definition': 'Havilah = ""circle""'}, {'definition': 'n pr loc'}, {'definition': 'a part of Eden through which flowed the river Pison (Araxes); was probably the Grecian Colchis, in the northeast corner of Asia Minor, near the Caspian Sea'}, {'definition': 'a district in Arabia of the Ishmaelites named from the 2nd son of Cush; probably the district of Kualan,  in the northwestern part of Yemen'}, {'definition': 'n pr m'}, {'definition': 'a son of Cush'}, {'definition': 'a son of Joktan'}]",khav-ee-law',BDB Augmented Strong
Hul,חוּל,pr. n. m.,"[{'definition': 'Hul = ""circle""'}, {'definition': 'the second son of Aram and grandson of Shem'}]",khool,BDB Augmented Strong
Hupham,חוּפָם,pr. n. m.,"[{'definition': 'Hupham = ""coast-man""'}, {'definition': 'a son of Benjamin,  founder of the family of the Huphamites'}]",khoo-fawm',BDB Augmented Strong
Hur,חוּר,pr. n. m.,"[{'definition': 'Hur = ""hole""'}, {'definition': 'a chief assistant to Moses and Aaron'}, {'definition': 'grandfather of Bezaleel,  the chief artificer of the tabernacle; possibly the same as 1 above'}, {'definition': 'the 4th of the 5 kings of Midian who were slain with Balaam after Peor'}, {'definition': 'father of Rephaiah in the time of Nehemiah'}, {'definition': 'father of Ben-Hur who was commissariat officer for Solomon in Mount Ephraim'}]",khoor,BDB Augmented Strong
Huri,חוּרִי,pr. n. m.,"[{'definition': 'Huri = ""linen-weaver""'}, {'definition': 'a Gadite,  father of Abihail'}]",khoo-ree',BDB Augmented Strong
Hurai,חוּרַי,pr. n. m.,"[{'definition': 'Hurai = ""linen-weaver""'}, {'definition': ""one of David's mighty warriors""}]",khoo-rah'ee,BDB Augmented Strong
Huram,חוּרָם,pr. n. m.,"[{'definition': 'Huram = ""noble born""'}, {'definition': 'son of Bela and grandson of Benjamin'}, {'definition': ""king of Tyre allied with David and Solomon; alternate spelling for 'Hiram'""}, {'definition': ""a chief architect of Solomon's temple; alternate spelling for 'Hiram'""}]",khoo-rawm',BDB Augmented Strong
Hushah,חוּשָׁה,pr. n. m.,"[{'definition': 'Hushah = ""haste""'}, {'definition': 'a descendant of Judah'}]",khoo-shaw',BDB Augmented Strong
Hushai,חוּשַׁי,pr. n. m.,"[{'definition': 'Hushai = ""hasting""'}, {'definition': 'an Archite,  a friend of David'}, {'definition': 'the father of Baana,  an officer of Solomon; probably the same as 1'}]",khoo-shah'-ee,BDB Augmented Strong
Hushim,חוּשִׁים,pr. n. m.,"[{'definition': 'Hushim = ""who makes haste""'}, {'definition': 'n pr f'}, {'definition': 'one of the two wives of Shaharaim'}, {'definition': 'n pr m'}, {'definition': 'the sons of Aher,  a Benjamite'}, {'definition': 'descendants of Dan'}]",khoo-sheem',BDB Augmented Strong
Husham,חוּשָׁם,pr. n. m.,"[{'definition': 'Husham = ""haste""'}, {'definition': 'one of the early kings of Edom'}]",khoo-shawm',BDB Augmented Strong
Hotham,חוֹתָם,pr. n. m.,"[{'definition': 'Hotham = ""seal""'}, {'definition': 'a man of Asher,  son of Heber,  of the family of Beriah'}, {'definition': ""father of two of David's mighty warriors""}]",kho-thawm',BDB Augmented Strong
Hazael,חֲזָאֵל,pr. n. m.,"[{'definition': 'Hazael = ""one who sees God""'}, {'definition': ""a king of Syria; sent by his master,  Ben-hadad,  to the prophet Elisha,  to seek a remedy for Ben-hadad's leprosy; apparently later killed Ben-hadad,  assumed the throne,  and soon became engaged in a war with the kings of Judah and Israel for the possession of the city of Ramoth-gilead""}]",khaz-aw-ale',BDB Augmented Strong
Hazo,חֲזוֹ,pr. n. m.,"[{'definition': 'Hazo = ""vision""'}, {'definition': 'son of Nahor by his wife Milcah'}]",khaz-o',BDB Augmented Strong
Haziel,חֲזִיאֵל,pr. n. m.,"[{'definition': 'Haziel = ""vision of God""'}, {'definition': 'a Levite of the family of Shimei of the Gershonites in the time of David or Solomon'}]",khaz-ee-ale',BDB Augmented Strong
Hazaiah,חֲזָיָה,pr. n. m.,"[{'definition': 'Hazaiah = ""God has seen""'}, {'definition': 'an exile and descendant of Shelah of the tribe of Judah who returned in the time of Nehemiah'}]",khaz-aw-yaw',BDB Augmented Strong
Hezion,חֶזְיוֹן,pr. n. m.,"[{'definition': 'Hezion = ""vision""'}, {'definition': ""king of Syria,  father of Tabrimon and grandfather of Ben-hadad; probably identical with 'Rezon' the contemporary of Solomon""}]",khez-yone',BDB Augmented Strong
Hezir,חֵזִיר,pr. n. m.,"[{'definition': 'Hezir = ""swine""'}, {'definition': 'a priest in the time of David,  leader of the 17th monthly course'}, {'definition': 'one of the heads of the people who sealed the covenant with Nehemiah'}]",khay-zeer',BDB Augmented Strong
Hezeki,חִזְקִי,pr. n. m.,"[{'definition': 'Hezeki = ""strong""'}, {'definition': 'a Benjamite,  descendant of Shaaraim'}]",khiz-kee',BDB Augmented Strong
Hezekiah,חִזְקִיָּה,pr. n. m.,"[{'definition': 'Hezekiah or Hizkiah or Hizkijah = ""Jehovah is my strength""'}, {'definition': '12th king of Judah,  son of Ahaz and Abijah; a good king in that he served Jehovah and did away with idolatrous practices'}, {'definition': 'great-great-grandfather of Zephaniah the prophet'}, {'definition': 'son of Neariah,  a descendant of David'}, {'definition': 'head of a family of returning exiles in the time of Nehemiah'}]",khiz-kee-yaw',BDB Augmented Strong
Hattush,חַטּוּשׁ,pr. n. m.,"[{'definition': 'Hattush = ""assembled""'}, {'definition': 'a descendant of David,  apparently one of the sons of Shechaniah, in the 4th or 5th generation from Zerubbabel', 'senses': [{'definition': 'a man who returned with Ezra; maybe same as 1 above'}, {'definition': 'a man who returned with Zerubbabel; maybe same as 1 above'}]}, {'definition': 'son of Hashabniah who helped repair the walls of Jerusalem with Nehemiah'}]",khat-toosh',BDB Augmented Strong
Hatita,חֲטִיטָא,pr. n. m.,"[{'definition': 'Hatita = ""exploring""'}, {'definition': 'head of a family of Levitical porters or gate-keepers who returned from exile with Zerubbabel'}]",khat-ee-taw',BDB Augmented Strong
Hattil,חַטִּיל,pr. n. m.,"[{'definition': 'Hattil = ""doubtful""'}, {'definition': ""head of a family of the children of Solomon's slaves who returned from exile with Zerubbabel""}]",khat-teel',BDB Augmented Strong
Hatipha,חֲטִיפָא,pr. n. m.,"[{'definition': 'Hatipha = ""seized""'}, {'definition': 'head of a family of temple slaves who returned from exile with Zerubbabel'}]",khat-ee-faw',BDB Augmented Strong
Hiel,חִיאֵל,pr. n. m.,"[{'definition': 'Hiel = ""God lives""'}, {'definition': 'a native of Bethel who rebuilt Jericho in the reign of Ahab and in whom was fulfilled the curse pronounced by Joshua'}]",khee-ale',BDB Augmented Strong
Helam,חֵילָם,pr. n. m.,"[{'definition': 'Helam = ""stronghold""'}, {'definition': 'a place east of the Jordan,  west of the Euphrates,  in Gilead,  at which the Syrians under Hadarezer were defeated by David'}]",khay-lawm',BDB Augmented Strong
Hirah,חִירָה,pr. n. m.,"[{'definition': 'Hirah = ""a noble family""'}, {'definition': 'an Adullamite,  the friend of Judah'}]",khee-raw',BDB Augmented Strong
"Hiram,",חִירָם,pr. n. m.,"[{'definition': 'Hiram, Huram = ""noble""'}, {'definition': 'the king of Tyre who sent workmen and materials to Jerusalem to build both the palace for David and the temple for Solomon'}, {'definition': ""the chief architect and engineer of Solomon's temple sent by King Hiram to Solomon""}]",khee-rawm',BDB Augmented Strong
Hachaliah,חֲכַלְיָה,pr. n. m.,"[{'definition': 'Hachaliah = ""whom Jehovah enlightens""'}, {'definition': 'the father of Nehemiah'}]",khak-al-yaw',BDB Augmented Strong
Hachmoni,חַכְמוֹנִי,pr. n. m.,"[{'definition': 'Hachmoni or Hachmonite = ""wise""'}, {'definition': 'n pr m'}, {'definition': ""father of one of David's mighty warriors""}, {'definition': ""father of the tutor of David's sons""}, {'definition': 'n patr m'}, {'definition': ""the family of one of David's servants""}]",khak-mo-nee',BDB Augmented Strong
Heleb,חֵלֶב,pr. n. m.,"[{'definition': 'Heleb = ""milk""'}, {'definition': ""son of Baanah,  the Netophathite,  and one of David's mighty warriors; also spelled 'Heled' ( H02466)""}]",khay'-leb,BDB Augmented Strong
Heled,חֵלֶד,pr. n. m.,"[{'definition': 'Heled = ""transient""'}, {'definition': ""son of Baanah,  the Netophathite,  and one of David's mighty warriors; also spelled 'Heleb' ( H02460)""}]",khay'-led,BDB Augmented Strong
Heldai,חֶלְדַּי,pr. n. m.,"[{'definition': 'Heldai = ""worldly""'}, {'definition': ""one of David's mighty warriors and the 12th captain of the monthly courses for the temple service""}, {'definition': 'a returning exile in the time of Zechariah'}]",khel-dah'-ee,BDB Augmented Strong
Helem,חֵלֶם,pr. n. m.,"[{'definition': 'Helem = ""strength"" or ""dream""'}, {'definition': ""a returned exile in the time of Zechariah; also spelled 'Heldai'""}]",khay'lem,BDB Augmented Strong
Helon,חֵלֹן,pr. n. m.,"[{'definition': 'Helon = ""strength""'}, {'definition': 'father of Eliab of the tribe of Zebulun'}]",khay-lone',BDB Augmented Strong
Helez,חֶלֶץ,pr. n. m.,"[{'definition': 'Helez = ""he has saved""'}, {'definition': ""an Ephraimite,  one of the 30 of David's mighty warriors,  leader of the 7th monthly course""}, {'definition': 'a man of Judah,  son of Azariah'}]",kheh'-lets,BDB Augmented Strong
Helek,חֵלֶק,pr. n. m.,"[{'definition': 'Helek = ""portion""'}, {'definition': 'a descendant of Manasseh,  and 2nd son of Gilead'}]",khay'-lek,BDB Augmented Strong
Helkai,חֶלְקַי,pr. n. m.,"[{'definition': 'Helkai = ""my portion is Jehovah""'}, {'definition': ""chief of Meremoth's priestly family in the time of Joiakim""}]",khel-kah'ee,BDB Augmented Strong
Hilkiah,חִלְקִיָּה,pr. n. m.,"[{'definition': 'Hilkiah = ""my portion is Jehovah""'}, {'definition': 'father of Eliakim,  an officer of Hezekiah'}, {'definition': 'high priest in the reign of Josiah'}, {'definition': 'a Merarite Levite,  son of Amzi'}, {'definition': 'another Merarite Levite,  2nd son of Hosah'}, {'definition': 'one of those who stood on the right of Ezra when he read the law and probably a Levite and a priest'}, {'definition': 'a priest of Anathoth,  father of the prophet Jeremiah'}, {'definition': ""father of Gemariah who was one of Zedekiah's envoys to Babylon""}]",khil-kee-yaw',BDB Augmented Strong
Ham,חָם,pr. n. m.,"[{'definition': 'Ham = ""hot""'}, {'definition': 'n pr m'}, {'definition': '2nd son of Noah,  father of Canaan and of various peoples which were inhabitants of southern lands'}, {'definition': 'in late usage, a collective name for Egyptians'}, {'definition': 'n pr loc'}, {'definition': 'the place where Chedorlaomer smote the Zuzim,  probably in the territory of Ammonites (Gilead) east of the Jordan'}]",khawm,BDB Augmented Strong
Hemdan,חֶמְדָּן,pr. n. m.,"[{'definition': 'Hemdan = ""desire""'}, {'definition': 'the eldest son of Dishon,  son of Anah the Horite'}]",khem-dawn',BDB Augmented Strong
Hamuel,חַמּוּאֵל,pr. n. m.,"[{'definition': 'Hamuel = ""heat of God""'}, {'definition': 'a man of Simeon,  of the family of Shaul'}]",kham-moo-ale',BDB Augmented Strong
Hamul,חָמוּל,pr. n. m.,"[{'definition': 'Hamul = ""spared""'}, {'definition': ""the younger son of Pharez,  Judah's son by Tamar""}]",khaw-mool',BDB Augmented Strong
Hamor,חֲמוֹר,pr. n. m.,"[{'definition': 'Hamor = ""he-ass""'}, {'definition': 'the Hivite prince of the city of Shechem when Jacob entered Palestine'}]",kham-ore',BDB Augmented Strong
Amram,חַמְרָן,pr. n. m.,"[{'definition': 'Amram = ""the people is exalted"" or ""their slime""'}, {'definition': 'the son of Dishon,  a descendant of Esau'}]",kham-rawn',BDB Augmented Strong
Hamath,חֲמָת,pr. n. m.,"[{'definition': 'Hamath = ""fortress""'}, {'definition': 'n pr loc'}, {'definition': 'the principle city of upper Syria in the valley of the Orontes'}, {'definition': 'n pr m'}, {'definition': 'father of the house of Rechab'}]",kham-awth',BDB Augmented Strong
Hen,חֵן,pr. n. m.,"[{'definition': 'Hen = ""favour""'}, {'definition': 'a contemporary of Zerubbabel'}]",khane,BDB Augmented Strong
Henadad,חֵנָדָד,pr. n. m.,"[{'definition': 'Henadad = ""favour of Hadad""'}, {'definition': 'head of a family of Levites who took part in the rebuilding of the temple'}]",khay-naw-dawd',BDB Augmented Strong
Enoch,חֲנוֹךְ,pr. n. m.,"[{'definition': 'Enoch = ""dedicated""'}, {'definition': 'n pr m'}, {'definition': 'eldest son of Cain'}, {'definition': 'son of Jared and father of Methuselah whom God took home to heaven without dying'}, {'definition': 'n pr loc'}, {'definition': 'the city which Cain built and named after his son Enoch (after himself)'}, {'definition': 'Hanoch = ""dedicated""'}, {'definition': 'n pr m'}, {'definition': 'a son of Midian,  the third child'}, {'definition': 'the eldest son of Reuben'}]",khan-oke',BDB Augmented Strong
Hanun,חָנוּן,pr. n. m.,"[{'definition': 'Hanun = ""gracious""'}, {'definition': ""son of Nahash and king of Ammon who dishonoured David's ambassadors and lost the subsequent war with David""}, {'definition': 'a man who,  with the people of Zanoah,  repaired the ravine gate in the wall of Jerusalem'}, {'definition': 'the 6th son of Zalaph,  who also assisted in the repair of the wall of Jerusalem,  apparently on the east side'}]",khaw-noon',BDB Augmented Strong
Hanniel,חַנִּיאֵל,pr. n. m.,"[{'definition': 'Hanniel = ""favoured of God""'}, {'definition': 'son of Ephod and a prince of the tribe of Manasseh'}, {'definition': ""son of Ulla and a chief of the tribe of Asher; also 'Haniel'""}]",khan-nee-ale',BDB Augmented Strong
Hanameel,חֲנַמְאֵל,pr. n. m.,"[{'definition': 'Hanameel = ""God is gracious""'}, {'definition': 'son of Shallum and cousin of Jeremiah'}]",khan-am-ale',BDB Augmented Strong
Canan,חָנָן,pr. n. m.,"[{'definition': 'Canan or Hanan = ""he is merciful""'}, {'definition': 'one of the chief people of the tribe of Benjamin'}, {'definition': 'last of the 6 sons of Azel,  a descendant of Saul'}, {'definition': ""son of Maachah,  one of David's mighty warriors""}, {'definition': 'father of some sons who returned from exile with Zerubbabel'}, {'definition': 'one of the Levites who assisted Ezra in his public exposition of the law'}, {'definition': 'one of the heads of the people who also sealed the covenant with Nehemiah'}, {'definition': 'another of the chief laymen who also sealed the covenant with Nehemiah'}, {'definition': 'son of Zaccur,  grandson of Mattaniah whom Nehemiah made one of the storekeepers of the provisions collected as tithes. Same as 5 ?'}, {'definition': 'son of Igdaliah'}]",khaw-nawn',BDB Augmented Strong
Hananeel,חֲנַנְאֵל,pr. n. m.,"[{'definition': 'Hananeel = ""God has favoured""'}, {'definition': 'the name of a tower in Jerusalem'}]",khan-an-ale',BDB Augmented Strong
Hanani,חֲנָנִי,pr. n. m.,"[{'definition': 'Hanani = ""gracious""'}, {'definition': 'one of the sons of Heman,  a chief musician of David,  and head of the 18th course of the service'}, {'definition': 'a seer who rebuked Asa,  king of Judah,  and was imprisoned', 'senses': [{'definition': 'maybe,  father of Jehu the seer who testified against Baasha'}]}, {'definition': 'one of the priests who in the time of Ezra took a foreign wife'}, {'definition': 'brother of Nehemiah whom Nehemiah appointed governor of Jerusalem'}, {'definition': 'another priest who was the chief musician under Nehemiah'}]",khan-aw-nee',BDB Augmented Strong
Hananiah,חֲנַנְיָה,pr. n. m.,"[{'definition': 'Hananiah = ""God has favoured""'}, {'definition': ""the godly friend of Daniel whom Nebuchadnezzar renamed Shadrach; one of the three friends who with Daniel refused to make themselves unclean by eating food from the king's table which went against the dietary laws which God had given the Jews; also one of the three who were thrown into the fiery furnace for refusing to bow down to a graven image of Nebuchadnezzar and who were saved by the angel of the Lord. See also, 'Shadrach' ( H07714 or  H07715)""}, {'definition': 'one of the 14 sons of Heman and chief of the 16th course'}, {'definition': 'a general in the army of King Uzziah'}, {'definition': 'father of Zedekiah in the time of Jehoiakim'}, {'definition': 'son of Azur,  a Benjamite of Gibeon and a false prophet in the reign of Zedekiah king of Judah'}, {'definition': 'grandfather of Irijah,  the captain of the ward at the gate of Benjamin who arrested Jeremiah on the charge of deserting to the Chaldeans'}, {'definition': 'a head of a Benjamite house'}, {'definition': 'son of Zerubbabel.'}, {'definition': 'one of the sons of Bebai who returned with Ezra from Babylon', 'senses': [{'definition': 'a priest,  one of the makers of the sacred ointments and incense, who built a portion of the wall of Jerusalem in the days of Nehemiah'}, {'definition': 'head of the priestly course of Jeremiah in the days of Joiakim'}, {'definition': ""ruler of the palace at Jerusalem under Nehemiah and also,  along with Hanani,  the Tirshatha's brother,  entrusted with the arrangements of guarding the gates of Jerusalem""}, {'definition': 'Two post exilic Israelites'}]}]",khan-an-yaw',BDB Augmented Strong
Hesed,חֶסֶד,pr. n. m.,"[{'definition': 'Hesed = ""son of faithfulness""'}, {'definition': 'father of or maybe a commissary officer under Solomon'}]",kheh'-sed,BDB Augmented Strong
Hasadiah,חֲסַדְיָה,pr. n. m.,"[{'definition': 'Hasadiah = ""Jehovah has been faithful""'}, {'definition': 'a son of Zerubbabel'}]",khas-ad-yaw',BDB Augmented Strong
Hosah,חֹסָה,pr. n. m.,"[{'definition': 'Hosah = ""refuge""'}, {'definition': 'n pr m'}, {'definition': 'a Levitical doorkeeper of the temple'}, {'definition': 'n pr loc'}, {'definition': 'a place in Asher,  site unknown'}]",kho-saw',BDB Augmented Strong
Hasrah,חַסְרָה,pr. n. m.,"[{'definition': 'Hasrah = ""lack""'}, {'definition': ""grandfather of Shallum who was the husband of Huldah,  the prophetess; also spelled 'Harhas'""}]",khas-raw',BDB Augmented Strong
Huppah,חֻפָּה,pr. n. m.,"[{'definition': 'Huppah = ""canopy""'}, {'definition': 'a priest of the 13th course in the time of David'}]",khoop-paw',BDB Augmented Strong
Huppim,חֻפִּים,pr. n. m.,"[{'definition': 'Huppim = ""protected""'}, {'definition': 'the head of a Benjamite family'}]",khoop-peem',BDB Augmented Strong
Hophni,חׇפְנִי,pr. n. m.,"[{'definition': 'Hophni = ""pugilist""'}, {'definition': ""one of the two sons of Eli who were priests at Shiloh and were noted for their brutality and lust; their sinfulness provoked a curse against their father's house and were judged by the Lord when they took the ark into battle; the ark was lost and both brothers were killed and Eli died when he heard the news""}]",khof-nee',BDB Augmented Strong
Hepher,חֵפֶר,pr. n. m.,"[{'definition': 'Hepher = ""a well""'}, {'definition': 'n pr m'}, {'definition': 'youngest son of Gilead and head of the family of Hepherites'}, {'definition': 'son of Asher,  the father of Tekoa'}, {'definition': ""the Mecherathite, one of David's mighty warriors""}, {'definition': 'n pr loc'}, {'definition': 'a place in ancient Canaan,  west of the Jordan,  conquered by Joshua site unknown', 'senses': [{'definition': 'a place in Judah,  probably the same as 4 above'}]}]",khay'-fer,BDB Augmented Strong
,חֲצִי הַמְּנֻחוֹת,pr. n. m.,[],chat-tsee' hammen-oo-khoth',BDB Augmented Strong
,חֲצִי הַמְּנַחְתִּי,pr. n. m.,[],khat-see' ham-menakh-tee',BDB Augmented Strong
Hezro,חֶצְרוֹ,pr. n. m.,"[{'definition': 'Hezro or Hezrai = ""enclosed""'}, {'definition': ""the Carmelite,  one of David's 30 mighty warriors in his guard""}]",khets-ro',BDB Augmented Strong
Hezron,חֶצְרוֹן,pr. n. m.,"[{'definition': 'Hezron = ""surrounded by a wall""'}, {'definition': 'n pr m'}, {'definition': 'a son of Reuben'}, {'definition': 'a son of Pharez and grandson of Judah'}, {'definition': 'n pr loc'}, {'definition': 'a place in the extreme south of Judah'}]",khets-rone',BDB Augmented Strong
Hazarmaveth,חֲצַרְמָוֶת,pr. n. m.,"[{'definition': 'Hazarmaveth = ""village of death""'}, {'definition': 'n pr m'}, {'definition': 'the 3rd in order of the sons of Joktan'}, {'definition': '++++'}, {'definition': 'He was the founder of an ancient people of southern Arabia which later became  a province and important commercial centre'}]",khats-ar-maw'-veth,BDB Augmented Strong
Hakupha,חֲקוּפָא,pr. n. m.,"[{'definition': 'Hakupha = ""bent""'}, {'definition': 'head of a family of exiles returning with Zerubbabel'}]",khah-oo-faw',BDB Augmented Strong
Harbona,חַרְבוֹנָא,pr. n. m.,"[{'definition': 'Harbona or Harbonah = ""ass-driver""'}, {'definition': 'the 3rd of the seven chamberlains or eunuchs who served Ahasuerus'}]",khar-bo-naw',BDB Augmented Strong
Harhaiah,חַרְהֲיָה,pr. n. m.,"[{'definition': 'Harhaiah = ""fear of Jehovah""'}, {'definition': ""father of Uzziel who was one of the builders of the wall in Nehemiah's time""}]",khar-hah-yaw',BDB Augmented Strong
Harumaph,חֲרוּמַף,pr. n. m.,"[{'definition': 'Harumaph = ""split nose""'}, {'definition': ""father of Jedaiah,  one of the builders of the wall in Nehemiah's time""}]",khar-oo-maf',BDB Augmented Strong
Haruz,חָרוּץ,pr. n. m.,"[{'definition': 'Haruz = ""zealous""'}, {'definition': 'a man of Jotbah,  father of Meshullemeth,  wife of Manasseh and mother of Amon'}]",khaw-roots',BDB Augmented Strong
Harhur,חַרְחוּר,pr. n. m.,"[{'definition': 'Harhur = ""inflammation""'}, {'definition': 'head of a family returning from exile with Zerubbabel'}]",khar-khoor',BDB Augmented Strong
Harhas,חַרְחַס,pr. n. m.,"[{'definition': 'Harhas = ""very poor""'}, {'definition': 'grandfather of Shallum,  the husband of Huldah,  the prophetess'}]",khar-khas',BDB Augmented Strong
Hori,חֹרִי,pr. n. m.,"[{'definition': 'Hori = ""cave dweller""'}, {'definition': 'a Horite,  son of Lotan,  the son of Seir'}, {'definition': 'a Simeonite,  father of Shaphat'}]",kho-ree',BDB Augmented Strong
Hariph,חָרִיף,pr. n. m.,"[{'definition': 'Hariph = ""a plucking off""'}, {'definition': 'head of a family of exiles returning with Zerubbabel'}, {'definition': 'a head of the people who sealed the covenant with Nehemiah'}]",khaw-reef',BDB Augmented Strong
Harim,חָרִם,pr. n. m.,"[{'definition': 'Harim = ""dedicated""'}, {'definition': 'a priest in the time of David who had charge of the 3rd course'}, {'definition': 'head of a family of exiles totalling 1017 who returned with Zerubbabel'}, {'definition': 'another head of a family of exiles totalling 320 who returned with Zerubbabel'}, {'definition': 'a priest in the time of Nehemiah'}, {'definition': 'a ruler of the people under Nehemiah'}]",khaw-reem',BDB Augmented Strong
Hermon,חֶרְמוֹן,pr. n. m.,"[{'definition': 'Hermon = ""a sanctuary""'}, {'definition': 'a mountain on the northeastern border of Palestine and Lebanon and overlooking the border city of Dan'}]",kher-mone',BDB Augmented Strong
Hermonites,חֶרְמוֹנִים,pr. n. m.,"[{'definition': 'Hermonites = see Hermon ""a sanctuary""'}, {'definition': 'the name for the three summits of Mount Hermon located on the border of Palestine and Lebanon'}]",kher-mo-neem',BDB Augmented Strong
Haran,חָרָן,pr. n. m.,"[{'definition': 'Haran = ""mountaineer""'}, {'definition': 'n pr m'}, {'definition': 'a son of Caleb by his concubine Ephah'}, {'definition': 'n pr loc'}, {'definition': 'the city to which Abraham migrated when he left Ur of the Chaldees and where he stayed until his father died before leaving for the promised land; located in Mesopotamia in Padan-aram at the foot of Mount Masius between the Khabour and the Euphrates'}]",kaw-rawn',BDB Augmented Strong
Horonaim,חֹרֹנַיִם,pr. n. m.,"[{'definition': 'Horonaim = ""two caves""'}, {'definition': 'a town of Moab'}]",kho-ro-nah'-yim,BDB Augmented Strong
Harnepher,חַרְנֶפֶר,pr. n. m.,"[{'definition': 'Harnepher = ""panting""'}, {'definition': 'a son of Zophah of the tribe of Asher'}]",khar-neh'fer,BDB Augmented Strong
Hareph,חָרֵף,pr. n. m.,"[{'definition': 'Hareph = ""a plucking off""'}, {'definition': 'a son of Caleb and father of Bethgader'}]",khaw-rafe',BDB Augmented Strong
Heresh,חֶרֶשׁ,pr. n. m.,"[{'definition': 'Heresh = ""mute""'}, {'definition': 'a Levite attached to the tabernacle'}]",kheh'-resh,BDB Augmented Strong
Harsha,חַרְשָׁא,pr. n. m.,"[{'definition': 'Harsha = ""mute""'}, {'definition': 'head of a family of exiles returning with Zerubbabel'}]",khar-shaw',BDB Augmented Strong
Charashim,חֲרָשִׁים,pr. n. m.,"[{'definition': 'Charashim or Harashim = ""valley of craftsmen""'}, {'definition': ""a valley near Lydda,  a few miles east of Joppa,  founded by Joab of Othniel's family""}]",khar-aw-sheem',BDB Augmented Strong
Hashbadana,חַשְׁבַּדָּנָה,pr. n. m.,"[{'definition': 'Hashbadana = ""considerate judge""'}, {'definition': 'one of the men who stood on the left of Ezra while he read the law to the people'}]",khash-bad-daw'-naw,BDB Augmented Strong
Hashubah,חֲשֻׁבָה,pr. n. m.,"[{'definition': 'Hashubah = ""consideration""'}, {'definition': 'a son of Zerubbabel'}]",khash-oo-baw',BDB Augmented Strong
Hashabiah,חֲשַׁבְיָה,pr. n. m.,"[{'definition': 'Hashabiah = ""Jehovah has considered""'}, {'definition': 'a Merarite Levite'}, {'definition': 'the 4th of the 6 sons of Jeduthun who had charge of the 12th course'}, {'definition': 'one of the descendants of Hebron the son of Kohath'}, {'definition': 'the son of Kemuel,  who was prince of the tribe of Levi in the time of David'}, {'definition': 'a Levite,  one of the chiefs of his tribe who officiated for Josiah at his great passover feast'}, {'definition': 'a Merarite Levite,  one of the chief priests who accompanied Ezra from Babylon; ruler of half the circuit of Keilah and one who repaired a portion of the wall of Jerusalem under Nehemiah. He sealed the covenant of reformation after the return from captivity'}, {'definition': 'a Levite,  son of Bunni in the time of Nehemiah'}, {'definition': 'a Levite,  son of Mattaniah in the time of Nehemiah'}, {'definition': 'a priest of the family of Hilkiah in the days of Joiakim,  son of Jeshua'}]",khash-ab-yaw',BDB Augmented Strong
Hashabnah,חֲשַׁבְנָה,pr. n. m.,"[{'definition': 'Hashabnah = ""Jehovah has considered""'}, {'definition': 'one of the chiefs of the people who sealed the covenant with Nehemiah'}]",khash-ab-naw',BDB Augmented Strong
Hashabniah,חֲשַׁבְנְיָה,pr. n. m.,"[{'definition': 'Hashabniah = ""whom Jehovah regards""'}, {'definition': 'the father of Hattush,  repairer of the wall'}, {'definition': 'a Levite who was among those who officiated at the great fast under Ezra and Nehemiah when the covenant was sealed'}]",khash-ab-neh-yaw',BDB Augmented Strong
Hashub,חַשּׁוּב,pr. n. m.,"[{'definition': 'Hashub = ""considerate""'}, {'definition': 'a Merarite Levite chief,  son of Azrikam'}, {'definition': 'a son of Pahath-moab who assisted in the repair of the wall of Jerusalem'}, {'definition': 'a man who assisted in the repair of the wall of Jerusalem; may be same as 2 above'}, {'definition': 'one of the heads of the people who sealed the covenant with Nehemiah'}]",khash-shoob',BDB Augmented Strong
Hasupha,חֲשׂוּפָא,pr. n. m.,"[{'definition': 'Hasupha or Hashupha = ""stripped""'}, {'definition': 'head of the family of temple slaves returning from exile in the 1st caravan'}]",khas-oo-faw',BDB Augmented Strong
Hashum,חָשֻׁם,pr. n. m.,"[{'definition': 'Hashum = ""rich""'}, {'definition': 'head of a family of 223 exiles returning with Zerubbabel'}, {'definition': ""one of the priests or Levites who stood on Ezra's left while he read the law""}]",khaw-shoom',BDB Augmented Strong
Heth,חֵת,pr. n. m.,"[{'definition': 'Heth = ""terror""'}, {'definition': 'a son of Canaan and the progenitor of the Hittites'}]",khayth,BDB Augmented Strong
